id,td,session,dir,code,reason,pnl_pts,atr,entry,exit,w_pnl,w_status
1779416504367,2026-05-22,day,long,8,replaced,15,80,42105,42120,15,reversed
1779417464369,2026-05-22,day,long,8,loss,-98.0,65,42120,42022.0,-98,loss
1779419264891,2026-05-22,day,short,4,loss,32.0,60,41944,41912.0,33,trail
1779420944162,2026-05-22,day,long,1,replaced,17,80,42148,42165,17,reversed
1779421904440,2026-05-22,day,long,8,loss,107.0,73,42165,42272.0,108,trail
1779423704433,2026-05-22,day,short,3,replaced,-13,56,42359,42372,-13,reversed
1779424904744,2026-05-22,day,short,3,replaced,-76,57,42372,42448,-76,reversed
1779425864370,2026-05-22,day,short,3,replaced,-1,53,42448,42449,-1,reversed
1779426824373,2026-05-22,day,short,3,replaced,4,42,42449,42445,4,reversed
1779427784706,2026-05-22,night,short,3,loss,45.0,40,42445,42400.0,45,trail
1779437866740,2026-05-22,night,long,2,loss,-72.0,48,42553,42481.0,-72,loss
1779440686695,2026-05-22,night,short,4,loss,20.0,56,42418,42398.0,15,trail
1779441826691,2026-05-22,night,short,4,loss,-65.0,44,42400,42465.0,-67,loss
1779444286701,2026-05-22,night,short,4,replaced,9,37,42406,42397,6,reversed
1779445247260,2026-05-22,night,short,4,loss,23.0,32,42397,42374.0,18,trail
1779446206733,2026-05-22,night,short,4,loss,23.0,34,42379,42356.0,23,trail
1779447166720,2026-05-22,night,short,4,replaced,-1,34,42370,42371,-2,reversed
1779448127269,2026-05-22,night,short,4,replaced,6,35,42371,42365,6,reversed
1779449087259,2026-05-22,night,short,4,loss,-52.0,32,42365,42417.0,-48,loss
1779454848442,2026-05-22,night,long,8,loss,27.0,40,42505,42532.0,40,trail
1779455806710,2026-05-22,night,long,8,loss,-50.0,38,42528,42478.0,22,trail
1779457186719,2026-05-22,night,long,2,loss,-50.0,57,42574,42524.0,-85,loss
1779458386710,2026-05-22,night,long,1,loss,-115.0,71,42564,42449.0,-110,reversed
1779459824398,2026-05-22,night,short,4,loss,-96.0,78,42445,42541.0,-116,loss
1779461142566,2026-05-22,night,long,1,loss,60.0,58,42565,42625.0,69,trail
1779672999773,2026-05-25,day,short,3,replaced,9,124,43959,43950,9,reversed
1779674860909,2026-05-25,day,short,3,loss,118.0,91,43990,43872.0,118,trail
1779680979749,2026-05-25,day,short,4,loss,-88.0,59,43648,43736.0,-88,loss
1779686739752,2026-05-25,day,long,1,loss,34.0,46,43829,43863.0,55,trail
1779687941542,2026-05-25,night,long,2,loss,31.0,60,43880,43911.0,31,trail
1779694247555,2026-05-25,night,long,8,loss,33.0,65,43884,43917.0,33,trail
1779695207551,2026-05-25,night,long,8,replaced,-7,61,43933,43926,-7,reversed
1779696168928,2026-05-25,night,long,8,loss,31.0,50,43926,43957.0,31,trail
1779700307550,2026-05-25,night,long,2,loss,-34.0,23,43982,43948.0,18,reversed
1779705768963,2026-05-25,night,long,2,profit,38.0,17,44000,44038.0,19,trail
1779707087557,2026-05-25,night,long,8,profit,47.0,21,44011,44058.0,47,profit
1779708347554,2026-05-25,night,short,3,replaced,-17,26,44066,44083,-17,reversed
1779710267551,2026-05-25,night,short,3,loss,36.0,30,44125,44089.0,37,trail
1779717347562,2026-05-25,night,long,1,profit,57.0,25,44156,44213.0,57,profit
1779720167560,2026-05-25,night,long,8,loss,29.0,40,44214,44243.0,29,trail
1779722747555,2026-05-25,night,short,3,loss,-55.0,37,44317,44372.0,-55,loss
1779736007555,2026-05-25,night,long,8,loss,-23.0,12,44348,44325.0,-23,loss
1779739307561,2026-05-25,night,long,8,profit,29.0,10,44347,44376.0,29,profit
1779741527557,2026-05-25,night,long,8,loss,-25.0,13,44366,44341.0,-25,loss
1779757237051,2026-05-26,day,short,4,loss,67.0,87,44219,44152.0,195,profit
1779760537263,2026-05-26,day,short,4,replaced,66,133,43881,43815,47,reversed
1779772237812,2026-05-26,break,long,8,profit,113,48,43827,43940,34,profit
1779774337627,2026-05-26,night,long,2,trail,44.0,54,43895,43939.0,44,trail
1779780697034,2026-05-26,night,long,8,trail,23.0,57,43869,43892.0,26,reversed
1779781957407,2026-05-26,night,long,8,replaced,14,53,43895,43909,14,reversed
1779782977448,2026-05-26,night,long,8,trail,14.0,49,43909,43923.0,14,trail
1779783937033,2026-05-26,night,long,8,loss,-12,38,43952,43940,-12,loss
1779785556997,2026-05-26,night,long,2,replaced,-28,40,44020,43992,-28,reversed
1779786517406,2026-05-26,night,long,8,trail,57.0,45,43992,44049.0,22,trail
1779787776999,2026-05-26,night,long,1,replaced,12,53,44037,44049,12,reversed
1779788737251,2026-05-26,night,long,8,trail,14.0,40,44049,44063.0,17,reversed
1779789877522,2026-05-26,night,long,8,profit,83.0,37,44066,44149.0,83,profit
