id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1779416504367,2026-05-22,day,long,8,,,15,replaced,42105,42120
1779417464369,2026-05-22,day,long,8,,,-98.0,loss,42120,42022.0
1779419264891,2026-05-22,day,short,4,,,32.0,loss,41944,41912.0
1779420944162,2026-05-22,day,long,1,,,17,replaced,42148,42165
1779421904440,2026-05-22,day,long,8,,,107.0,loss,42165,42272.0
1779423704433,2026-05-22,day,short,3,,,-13,replaced,42359,42372
1779424904744,2026-05-22,day,short,3,,,-76,replaced,42372,42448
1779425864370,2026-05-22,day,short,3,,,-1,replaced,42448,42449
1779426824373,2026-05-22,day,short,3,,,4,replaced,42449,42445
1779427784706,2026-05-22,night,short,3,,,45.0,loss,42445,42400.0
1779437866740,2026-05-22,night,long,2,,,-72.0,loss,42553,42481.0
1779440686695,2026-05-22,night,short,4,,,20.0,loss,42418,42398.0
1779441826691,2026-05-22,night,short,4,,,-65.0,loss,42400,42465.0
1779444286701,2026-05-22,night,short,4,,,9,replaced,42406,42397
1779445247260,2026-05-22,night,short,4,,,23.0,loss,42397,42374.0
1779446206733,2026-05-22,night,short,4,,,23.0,loss,42379,42356.0
1779447166720,2026-05-22,night,short,4,,,-1,replaced,42370,42371
1779448127269,2026-05-22,night,short,4,,,6,replaced,42371,42365
1779449087259,2026-05-22,night,short,4,,,-52.0,loss,42365,42417.0
1779454848442,2026-05-22,night,long,8,,,27.0,loss,42505,42532.0
1779455806710,2026-05-22,night,long,8,,,-50.0,loss,42528,42478.0
1779457186719,2026-05-22,night,long,2,,,-50.0,loss,42574,42524.0
1779458386710,2026-05-22,night,long,1,,,-115.0,loss,42564,42449.0
1779459824398,2026-05-22,night,short,4,,,-96.0,loss,42445,42541.0
1779461142566,2026-05-22,night,long,1,,,60.0,loss,42565,42625.0
1779672999773,2026-05-25,day,short,3,,,9,replaced,43959,43950
1779674860909,2026-05-25,day,short,3,,,118.0,loss,43990,43872.0
1779680979749,2026-05-25,day,short,4,,,-88.0,loss,43648,43736.0
1779686739752,2026-05-25,day,long,1,,,34.0,loss,43829,43863.0
1779687941542,2026-05-25,night,long,2,,,31.0,loss,43880,43911.0
1779694247555,2026-05-25,night,long,8,,,33.0,loss,43884,43917.0
1779695207551,2026-05-25,night,long,8,,,-7,replaced,43933,43926
1779696168928,2026-05-25,night,long,8,,,31.0,loss,43926,43957.0
1779700307550,2026-05-25,night,long,2,,,-34.0,loss,43982,43948.0
1779705768963,2026-05-25,night,long,2,,,38.0,profit,44000,44038.0
1779707087557,2026-05-25,night,long,8,,,47.0,profit,44011,44058.0
1779708347554,2026-05-25,night,short,3,,,-17,replaced,44066,44083
1779710267551,2026-05-25,night,short,3,,,36.0,loss,44125,44089.0
1779717347562,2026-05-25,night,long,1,,,57.0,profit,44156,44213.0
1779720167560,2026-05-25,night,long,8,,,29.0,loss,44214,44243.0
1779722747555,2026-05-25,night,short,3,,,-55.0,loss,44317,44372.0
1779736007555,2026-05-25,night,long,8,,,-23.0,loss,44348,44325.0
1779739307561,2026-05-25,night,long,8,,,29.0,profit,44347,44376.0
1779741527557,2026-05-25,night,long,8,,,-25.0,loss,44366,44341.0
1779757237051,2026-05-26,day,short,4,,,67.0,loss,44219,44152.0
1779760537263,2026-05-26,day,short,4,,,66,replaced,43881,43815
1779774337627,2026-05-26,night,long,2,,,44.0,trail,43895,43939.0
1779780697034,2026-05-26,night,long,8,,,23.0,trail,43869,43892.0
1779781957407,2026-05-26,night,long,8,,,14,replaced,43895,43909
1779782977448,2026-05-26,night,long,8,,,14.0,trail,43909,43923.0
1779783937033,2026-05-26,night,long,8,,,-12,loss,43952,43940
1779785556997,2026-05-26,night,long,2,,,-28,replaced,44020,43992
