id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1779416504367,2026-05-22,day,long,8,8,80,15,replaced,42105,42120
1779417464369,2026-05-22,day,long,8,8,65,-98.0,loss,42120,42022.0
1779419264891,2026-05-22,day,short,4,4,60,32.0,loss,41944,41912.0
1779420944162,2026-05-22,day,long,1,1,80,17,replaced,42148,42165
1779421904440,2026-05-22,day,long,8,8,73,107.0,loss,42165,42272.0
1779423704433,2026-05-22,day,short,3,3,56,-13,replaced,42359,42372
1779424904744,2026-05-22,day,short,3,3,57,-76,replaced,42372,42448
1779425864370,2026-05-22,day,short,3,3,53,-1,replaced,42448,42449
1779426824373,2026-05-22,day,short,3,3,42,4,replaced,42449,42445
1779427784706,2026-05-22,night,short,3,3,40,45.0,loss,42445,42400.0
1779437866740,2026-05-22,night,long,2,2,48,-72.0,loss,42553,42481.0
1779440686695,2026-05-22,night,short,4,4,56,20.0,loss,42418,42398.0
1779441826691,2026-05-22,night,short,4,4,44,-65.0,loss,42400,42465.0
1779444286701,2026-05-22,night,short,4,4,37,9,replaced,42406,42397
1779445247260,2026-05-22,night,short,4,4,32,23.0,loss,42397,42374.0
1779446206733,2026-05-22,night,short,4,4,34,23.0,loss,42379,42356.0
1779447166720,2026-05-22,night,short,4,4,34,-1,replaced,42370,42371
1779448127269,2026-05-22,night,short,4,4,35,6,replaced,42371,42365
1779449087259,2026-05-22,night,short,4,4,32,-52.0,loss,42365,42417.0
1779454848442,2026-05-22,night,long,8,8,40,27.0,loss,42505,42532.0
1779455806710,2026-05-22,night,long,8,8,38,-50.0,loss,42528,42478.0
1779457186719,2026-05-22,night,long,2,2,57,-50.0,loss,42574,42524.0
1779458386710,2026-05-22,night,long,1,1,71,-115.0,loss,42564,42449.0
1779459824398,2026-05-22,night,short,4,4,78,-96.0,loss,42445,42541.0
1779461142566,2026-05-22,night,long,1,1,58,60.0,loss,42565,42625.0
1779672999773,2026-05-25,day,short,3,3,124,9,replaced,43959,43950
1779674860909,2026-05-25,day,short,3,3,91,118.0,loss,43990,43872.0
1779680979749,2026-05-25,day,short,4,4,59,-88.0,loss,43648,43736.0
1779686739752,2026-05-25,day,long,1,1,46,34.0,loss,43829,43863.0
1779687941542,2026-05-25,night,long,2,2,60,31.0,loss,43880,43911.0
1779694247555,2026-05-25,night,long,8,8,65,33.0,loss,43884,43917.0
1779695207551,2026-05-25,night,long,8,8,61,-7,replaced,43933,43926
1779696168928,2026-05-25,night,long,8,8,50,31.0,loss,43926,43957.0
1779700307550,2026-05-25,night,long,2,2,23,-34.0,loss,43982,43948.0
1779705768963,2026-05-25,night,long,2,2,17,38.0,profit,44000,44038.0
1779707087557,2026-05-25,night,long,8,8,21,47.0,profit,44011,44058.0
1779708347554,2026-05-25,night,short,3,3,26,-17,replaced,44066,44083
1779710267551,2026-05-25,night,short,3,3,30,36.0,loss,44125,44089.0
1779717347562,2026-05-25,night,long,1,1,25,57.0,profit,44156,44213.0
1779720167560,2026-05-25,night,long,8,8,40,29.0,loss,44214,44243.0
1779722747555,2026-05-25,night,short,3,3,37,-55.0,loss,44317,44372.0
1779736007555,2026-05-25,night,long,8,8,12,-23.0,loss,44348,44325.0
1779739307561,2026-05-25,night,long,8,8,10,29.0,profit,44347,44376.0
1779741527557,2026-05-25,night,long,8,8,13,-25.0,loss,44366,44341.0
1779757237051,2026-05-26,day,short,4,4,87,67.0,loss,44219,44152.0
1779760537263,2026-05-26,day,short,4,4,133,66,replaced,43881,43815
1779774337627,2026-05-26,night,long,2,2,54,44.0,trail,43895,43939.0
1779780697034,2026-05-26,night,long,8,8,57,23.0,trail,43869,43892.0
1779781957407,2026-05-26,night,long,8,8,53,14,replaced,43895,43909
1779782977448,2026-05-26,night,long,8,8,49,14.0,trail,43909,43923.0
1779783937033,2026-05-26,night,long,8,8,38,-12,loss,43952,43940
1779785556997,2026-05-26,night,long,2,2,40,-28,replaced,44020,43992
1779786517406,2026-05-26,night,long,8,8,45,57.0,trail,43992,44049.0
1779787776999,2026-05-26,night,long,1,1,53,12,replaced,44037,44049
1779788737251,2026-05-26,night,long,8,8,40,14.0,trail,44049,44063.0
1779789877522,2026-05-26,night,long,8,8,37,83.0,profit,44066,44149.0
1779791136995,2026-05-26,night,short,3,3,27,-41.0,loss,44139,44180.0
1779800437215,2026-05-26,night,long,8,8,23,-34.0,loss,44166,44132.0
1779802416996,2026-05-26,night,long,2,2,27,60.0,profit,44200,44260.0
1779803377656,2026-05-26,night,long,2,2,58,-87.0,loss,44491,44404.0
1779804337058,2026-05-26,night,long,8,8,81,108,replaced,44302,44410
1779805297403,2026-05-26,night,long,8,8,93,60,reversed,44410,44470
1779806257498,2026-05-26,night,short,3,3,75,61.0,trail,44470,44409.0
1779810764021,2026-05-26,night,short,4,4,53,45.0,trail,44300,44255.0
1779815984016,2026-05-26,night,long,8,8,34,31,replaced,44380,44411
1779816945079,2026-05-26,night,long,8,8,33,9,replaced,44411,44420
1779818145017,2026-05-26,night,long,8,8,32,21.0,trail,44420,44441.0
1779820124016,2026-05-26,night,long,8,8,23,7,reversed,44439,44446
1779823725020,2026-05-26,night,short,6,6,21,-23,reversed,44446,44469
1779824805040,2026-05-26,night,long,8,8,19,-39.0,loss,44469,44430.0
1779844544064,2026-05-27,day,short,3,3,95,-174.0,loss,44946,45120.0
1779848144054,2026-05-27,day,long,1,1,119,12,replaced,44975,44987
1779849047393,2026-05-27,day,long,8,8,96,216.0,profit,44987,45203.0
1779850124016,2026-05-27,day,long,2,2,100,-140.0,loss,45173,45033.0
1779854624035,2026-05-27,day,short,4,4,80,178.0,profit,44910,44732.0
1779858345082,2026-05-27,day,short,4,4,128,-192.0,loss,44618,44810.0
1779867046331,2026-05-27,night,long,8,8,68,-89.0,loss,44787,44698.0
1779868485045,2026-05-27,night,long,8,8,56,50.0,trail,44768,44818.0
1779869505041,2026-05-27,night,long,8,8,54,122.0,profit,44818,44940.0
1779872732273,2026-05-27,night,long,8,8,44,82,profit,44937,45019
1779873872273,2026-05-27,night,long,2,2,46,49.0,trail,45009,45058.0
1779875372268,2026-05-27,night,short,3,3,48,-81.0,loss,45077,45158.0
1779877592952,2026-05-27,night,short,3,3,43,45.0,trail,45195,45150.0
1779879752276,2026-05-27,night,long,2,2,49,42.0,trail,45258,45300.0
1779881072283,2026-05-27,night,long,2,2,59,4,reversed,45372,45376
1779882992275,2026-05-27,night,short,3,3,52,-81.0,loss,45444,45525.0
1779899123471,2026-05-27,night,long,8,8,82,88.0,trail,45029,45117.0
1779900983493,2026-05-27,night,long,8,8,60,-132.0,loss,45050,44918.0
