id,trading_day,session,sig,label,dir,entry,exit,pnl_pts,reason,atr,sessionOpen,win
1779416504367,2026-05-22,day,8,⑧ 趨勢回踩,long,42105,42120,15,replaced,80,41355,1
1779417464369,2026-05-22,day,8,⑧ 趨勢回踩,long,42120,42022.0,-98.0,loss,65,41355,0
1779419264891,2026-05-22,day,4,④ 轉弱賣出,short,41944,41912.0,32.0,loss,60,41355,1
1779420944162,2026-05-22,day,1,① 低接進場,long,42148,42165,17,replaced,80,41355,1
1779421904440,2026-05-22,day,8,⑧ 趨勢回踩,long,42165,42272.0,107.0,loss,73,41355,1
1779423704433,2026-05-22,day,3,③ 高檔賣出,short,42359,42372,-13,replaced,56,41355,0
1779424904744,2026-05-22,day,3,③ 高檔賣出,short,42372,42448,-76,replaced,57,41355,0
1779425864370,2026-05-22,day,3,③ 高檔賣出,short,42448,42449,-1,replaced,53,41355,0
1779426824373,2026-05-22,day,3,③ 高檔賣出,short,42449,42445,4,replaced,42,41355,1
1779427784706,2026-05-22,night,3,③ 高檔賣出,short,42445,42400.0,45.0,loss,40,41355,1
1779437866740,2026-05-22,night,2,② 突破進場,long,42553,42481.0,-72.0,loss,48,42403,0
1779440686695,2026-05-22,night,4,④ 轉弱賣出,short,42418,42398.0,20.0,loss,56,42403,1
1779441826691,2026-05-22,night,4,④ 轉弱賣出,short,42400,42465.0,-65.0,loss,44,42403,0
1779444286701,2026-05-22,night,4,④ 轉弱賣出,short,42406,42397,9,replaced,37,42403,1
1779445247260,2026-05-22,night,4,④ 轉弱賣出,short,42397,42374.0,23.0,loss,32,42403,1
1779446206733,2026-05-22,night,4,④ 轉弱賣出,short,42379,42356.0,23.0,loss,34,42403,1
1779447166720,2026-05-22,night,4,④ 轉弱賣出,short,42370,42371,-1,replaced,34,42403,0
1779448127269,2026-05-22,night,4,④ 轉弱賣出,short,42371,42365,6,replaced,35,42403,1
1779449087259,2026-05-22,night,4,④ 轉弱賣出,short,42365,42417.0,-52.0,loss,32,42403,0
1779454848442,2026-05-22,night,8,⑧ 趨勢回踩,long,42505,42532.0,27.0,loss,40,42403,1
1779455806710,2026-05-22,night,8,⑧ 趨勢回踩,long,42528,42478.0,-50.0,loss,38,42403,0
1779457186719,2026-05-22,night,2,② 突破進場 #2,long,42574,42524.0,-50.0,loss,57,42403,0
1779458386710,2026-05-22,night,1,① 低接進場,long,42564,42449.0,-115.0,loss,71,42403,0
1779459824398,2026-05-22,night,4,④ 轉弱賣出,short,42445,42541.0,-96.0,loss,78,42403,0
1779461142566,2026-05-22,night,1,① 低接進場,long,42565,42625.0,60.0,loss,58,42403,1
1779672999773,2026-05-25,day,3,③ 高檔賣出,short,43959,43950,9,replaced,124,43183,1
1779674860909,2026-05-25,day,3,③ 高檔賣出,short,43990,43872.0,118.0,loss,91,43183,1
1779680979749,2026-05-25,day,4,④ 轉弱賣出,short,43648,43736.0,-88.0,loss,59,43183,0
1779686739752,2026-05-25,day,1,① 低接進場,long,43829,43863.0,34.0,loss,46,43183,1
1779687941542,2026-05-25,night,2,② 突破進場,long,43880,43911.0,31.0,loss,60,43183,1
1779694247555,2026-05-25,night,8,⑧ 趨勢回踩,long,43884,43917.0,33.0,loss,65,43845,1
1779695207551,2026-05-25,night,8,⑧ 趨勢回踩,long,43933,43926,-7,replaced,61,43845,0
1779696168928,2026-05-25,night,8,⑧ 趨勢回踩,long,43926,43957.0,31.0,loss,50,43845,1
1779700307550,2026-05-25,night,2,② 突破進場 #2,long,43982,43948.0,-34.0,loss,23,43845,0
1779705768963,2026-05-25,night,2,② 突破進場,long,44000,44038.0,38.0,profit,17,43845,1
1779707087557,2026-05-25,night,8,⑧ 趨勢回踩,long,44011,44058.0,47.0,profit,21,43845,1
1779708347554,2026-05-25,night,3,③ 高檔賣出,short,44066,44083,-17,replaced,26,43845,0
1779710267551,2026-05-25,night,3,③ 高檔賣出,short,44125,44089.0,36.0,loss,30,43845,1
1779717347562,2026-05-25,night,1,① 低接進場,long,44156,44213.0,57.0,profit,25,43845,1
1779720167560,2026-05-25,night,8,⑧ 趨勢回踩,long,44214,44243.0,29.0,loss,40,43845,1
1779722747555,2026-05-25,night,3,③ 高檔賣出,short,44317,44372.0,-55.0,loss,37,43845,0
1779736007555,2026-05-25,night,8,⑧ 趨勢回踩,long,44348,44325.0,-23.0,loss,12,43845,0
1779739307561,2026-05-25,night,8,⑧ 趨勢回踩,long,44347,44376.0,29.0,profit,10,43845,1
1779741527557,2026-05-25,night,8,⑧ 趨勢回踩,long,44366,44341.0,-25.0,loss,13,43845,0
1779757237051,2026-05-26,day,4,④ 轉弱賣出,short,44219,44152.0,67.0,loss,87,43845,1
1779760537263,2026-05-26,day,4,④ 轉弱賣出,short,43881,43815,66,replaced,133,43845,1
1779772237812,2026-05-26,break,8,⑧ 趨勢回踩,long,43827,43940,113,profit,48,43845,1
1779774337627,2026-05-26,night,2,② 突破進場,long,43895,43939.0,44.0,trail,54,43845,1
1779780697034,2026-05-26,night,8,⑧ 趨勢回踩,long,43869,43892.0,23.0,trail,57,43942,1
1779781957407,2026-05-26,night,8,⑧ 趨勢回踩,long,43895,43909,14,replaced,53,43942,1
1779782977448,2026-05-26,night,8,⑧ 趨勢回踩,long,43909,43923.0,14.0,trail,49,43942,1
1779783937033,2026-05-26,night,8,⑧ 趨勢回踩,long,43952,43940,-12,loss,38,43942,0
1779785556997,2026-05-26,night,2,② 突破進場,long,44020,43992,-28,replaced,40,43942,0
1779786517406,2026-05-26,night,8,⑧ 趨勢回踩,long,43992,44049.0,57.0,trail,45,43942,1
1779787776999,2026-05-26,night,1,① 低接進場 #2,long,44037,44049,12,replaced,53,43942,1
1779788737251,2026-05-26,night,8,⑧ 趨勢回踩,long,44049,44063.0,14.0,trail,40,43942,1
1779789877522,2026-05-26,night,8,⑧ 趨勢回踩,long,44066,44149.0,83.0,profit,37,43942,1
1779791136995,2026-05-26,night,3,③ 高檔賣出,short,44139,44180.0,-41.0,loss,27,43942,0
1779800437215,2026-05-26,night,8,⑧ 趨勢回踩,long,44166,44132.0,-34.0,loss,23,43942,0
1779802416996,2026-05-26,night,2,② 突破進場 #2,long,44200,44260.0,60.0,profit,27,43942,1
1779803377656,2026-05-26,night,2,② 突破進場,long,44491,44404.0,-87.0,loss,58,43942,0
1779804337058,2026-05-26,night,8,⑧ 趨勢回踩,long,44302,44410,108,replaced,81,43942,1
1779805297403,2026-05-26,night,8,⑧ 趨勢回踩,long,44410,44470,60,reversed,93,43942,1
1779806257498,2026-05-26,night,3,③ 高檔賣出,short,44470,44409.0,61.0,trail,75,43942,1
1779810764021,2026-05-26,night,4,④ 轉弱賣出,short,44300,44255.0,45.0,trail,53,43942,1
1779815984016,2026-05-26,night,8,⑧ 趨勢回踩,long,44380,44411,31,replaced,34,43942,1
1779816945079,2026-05-26,night,8,⑧ 趨勢回踩,long,44411,44420,9,replaced,33,43942,1
1779818145017,2026-05-26,night,8,⑧ 趨勢回踩,long,44420,44441.0,21.0,trail,32,43942,1
1779820124016,2026-05-26,night,8,⑧ 趨勢回踩,long,44439,44446,7,reversed,23,43942,1
1779823725020,2026-05-26,night,6,⑥ 區間頂壓,short,44446,44469,-23,reversed,21,43942,0
1779824805040,2026-05-26,night,8,⑧ 趨勢回踩,long,44469,44430.0,-39.0,loss,19,43942,0
1779844544064,2026-05-27,day,3,③ 高檔賣出,short,44946,45120.0,-174.0,loss,95,43942,0
1779848144054,2026-05-27,day,1,① 低接進場,long,44975,44987,12,replaced,119,43942,1
1779849047393,2026-05-27,day,8,⑧ 趨勢回踩,long,44987,45203.0,216.0,profit,96,43942,1
1779850124016,2026-05-27,day,2,② 突破進場 #2,long,45173,45033.0,-140.0,loss,100,43942,0
1779854624035,2026-05-27,day,4,④ 轉弱賣出,short,44910,44732.0,178.0,profit,80,43942,1
1779858345082,2026-05-27,day,4,④ 轉弱賣出,short,44618,44810.0,-192.0,loss,128,43942,0
1779867046331,2026-05-27,night,8,⑧ 趨勢回踩,long,44787,44698.0,-89.0,loss,68,44669,0
1779868485045,2026-05-27,night,8,⑧ 趨勢回踩,long,44768,44818.0,50.0,trail,56,44669,1
1779869505041,2026-05-27,night,8,⑧ 趨勢回踩,long,44818,44940.0,122.0,profit,54,44669,1
1779872732273,2026-05-27,night,8,⑧ 趨勢回踩,long,44937,45019,82,profit,44,44669,1
1779873872273,2026-05-27,night,2,② 突破進場 #2,long,45009,45058.0,49.0,trail,46,44669,1
1779875372268,2026-05-27,night,3,③ 高檔賣出,short,45077,45158.0,-81.0,loss,48,44669,0
1779877592952,2026-05-27,night,3,③ 高檔賣出,short,45195,45150.0,45.0,trail,43,44669,1
1779879752276,2026-05-27,night,2,② 突破進場,long,45258,45300.0,42.0,trail,49,44669,1
1779881072283,2026-05-27,night,2,② 突破進場,long,45372,45376,4,reversed,59,44669,1
1779882992275,2026-05-27,night,3,③ 高檔賣出,short,45444,45525.0,-81.0,loss,52,44669,0
1779899123471,2026-05-27,night,8,⑧ 趨勢回踩,long,45029,45117.0,88.0,trail,82,44669,1
1779900983493,2026-05-27,night,8,⑧ 趨勢回踩,long,45050,44918.0,-132.0,loss,60,44669,0
1779903683487,2026-05-27,night,8,⑧ 趨勢回踩,long,45031,45068,37,replaced,67,44669,1
1779904765021,2026-05-27,night,8,⑧ 趨勢回踩,long,45068,45111,43,replaced,54,44669,1
1779905725097,2026-05-27,night,8,⑧ 趨勢回踩,long,45111,45128.0,17.0,trail,46,44669,1
1779907105043,2026-05-27,night,8,⑧ 趨勢回踩,long,45115,45163.0,48.0,trail,40,44669,1
1779909983481,2026-05-27,night,8,⑧ 趨勢回踩,long,45207,45255.0,48.0,trail,35,44669,1
1779911305004,2026-05-27,night,8,⑧ 趨勢回踩,long,45234,45155.0,-79.0,loss,39,44669,0
1779954503513,2026-05-28,night,8,⑧ 趨勢回踩,long,44040,44140.0,100.0,trail,89,43958,1
1779956185061,2026-05-28,night,8,⑧ 趨勢回踩,long,44136,44166,30,replaced,67,43958,1
1779957124172,2026-05-28,night,8,⑧ 趨勢回踩,long,44166,44151,-15,replaced,69,43958,0
1779958084165,2026-05-28,night,8,⑧ 趨勢回踩,long,44151,44276.0,125.0,profit,55,43958,1
1779959043339,2026-05-28,night,2,② 突破進場,long,44277,44176.0,-101.0,loss,55,43958,0
1779960423337,2026-05-28,night,1,① 低接進場,long,44235,44130.0,-105.0,loss,47,43958,0
1779965463367,2026-05-28,night,4,④ 轉弱賣出,short,44075,44069,6,replaced,53,43958,1
1779969003359,2026-05-28,night,8,⑧ 趨勢回踩,long,44206,44225.0,19.0,trail,54,43958,1
1779973204115,2026-05-28,night,3,③ 高檔賣出,short,44448,44531.0,-83.0,loss,59,43958,0
1779975063242,2026-05-28,night,2,② 突破進場,long,44557,44466.0,-91.0,loss,60,43958,0
1779977582136,2026-05-28,night,2,② 突破進場,long,44585,44660.0,75.0,trail,125,43958,1
1779980702162,2026-05-28,night,6,⑥ 區間頂壓,short,44740,44883.0,-143.0,loss,91,43958,0
1779999902111,2026-05-29,break,8,⑧ 趨勢回踩,long,44776,44660.0,-116.0,loss,24,43958,0
1780021502217,2026-05-29,day,8,⑧ 趨勢回踩,long,45108,45229.0,121.0,trail,118,43958,1
1780026482125,2026-05-29,day,1,① 低接進場 #2,long,45265,45405.0,140.0,profit,62,43958,1
1780029541895,2026-05-29,day,2,② 突破進場 #2,long,45389,45428.0,39.0,trail,52,43958,1
1780030861913,2026-05-29,day,1,① 低接進場 #2,long,45425,45353.0,-72.0,loss,54,43958,0
1780043692984,2026-05-29,night,1,① 低接進場,long,45368,45467.0,99.0,profit,44,45404,1
1780045912952,2026-05-29,night,2,② 突破進場 #2,long,45510,45544.0,34.0,trail,46,45404,1
1780048373772,2026-05-29,night,8,⑧ 趨勢回踩,long,45522,45436.0,-86.0,loss,58,45404,0
1780054432983,2026-05-29,night,4,④ 轉弱賣出,short,45361,45435.0,-74.0,loss,50,45404,0
1780063192989,2026-05-29,night,8,⑧ 趨勢回踩,long,45399,45392,-7,loss,85,45404,0
